,Artikal,Datum,Tip dok.,Unnamed: 3,Broj dok.,Poslovni partner,Adresa,Poštanski broj,Unnamed: 8,Mjesto,Unnamed: 10,Količina,Iznos prije rabata,Regija,Unnamed: 12,Partner šifra,Unnamed: 9,Unnamed: 11,Unnamed: 13,Unnamed: 7,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 6
1,Dorzol 20mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1879.0,"PZU APOTEKE ""PHARMACOM"" Tuzla ogr.FARMATEX Živinice",Prva ulica br.218,75270.0,,ŽIVINICE,,3.0,30.66,03 - Tuzlanski Kanton,,,,,,,,,,
2,Dorzol 20mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1848.0,"IBN-SINA PZU Ogranak 15, Slatina nova, Apoteka Tuzla (A16)","Albina Herljevića 8, Tuzla",75000.0,,TUZLA,,1.0,10.22,03 - Tuzlanski Kanton,,,,,,,,,,
3,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1819.0,IBN-SINA PZU Apoteka Lukavac (A12),Kulina Bana br.8,75300.0,,LUKAVAC,,20.0,247.4,03 - Tuzlanski Kanton,,,,,,,,,,
4,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1813.0,IBN-SINA PZU Internacionalna Apoteka (A1),1.Tuzlanske brigade 5,75000.0,,TUZLA,,10.0,123.7,03 - Tuzlanski Kanton,,,,,,,,,,
5,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1815.0,IBN-SINA PZU Apoteka Teočak (A6),"Centar bb, DOM ZDRAVLJA",75414.0,,TEOČAK,,10.0,123.7,03 - Tuzlanski Kanton,,,,,,,,,,
6,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1812.0,IBN-SINA PZU Apoteka Slatina(stara)Tuzla (A3),Albina Hreljevića 4,75000.0,,TUZLA,,20.0,247.4,03 - Tuzlanski Kanton,,,,,,,,,,
7,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1848.0,"IBN-SINA PZU Ogranak 15, Slatina nova, Apoteka Tuzla (A16)","Albina Herljevića 8, Tuzla",75000.0,,TUZLA,,2.0,24.74,03 - Tuzlanski Kanton,,,,,,,,,,
8,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1846.0,IBN-SINA PZU Ogranak 24 Tuzla (A33),ul.Maršala Tita br.62,75000.0,,TUZLA,,6.0,74.22,03 - Tuzlanski Kanton,,,,,,,,,,
9,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1826.0,"IBN-SINA PZU Ogranak 16, Živinice (A17)","Alije Izetbegovića bb, Živinice",75270.0,,ŽIVINICE,,5.0,61.85,03 - Tuzlanski Kanton,,,,,,,,,,
10,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1829.0,"IBN-SINA PZU Ogranak 19, Lukavac (A21)","ul.25. Novembra bb, Lukavac",75300.0,,LUKAVAC,,5.0,61.85,03 - Tuzlanski Kanton,,,,,,,,,,
11,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1842.0,PZU Apoteka ADONIS ogr.3 GRAČANICA,Fridriha Foglera 9b,75320.0,,GRAČANICA,,5.0,61.85,03 - Tuzlanski Kanton,,,,,,,,,,
12,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1821.0,"IBN-SINA PZU Ogranak 10 Stupine, Tuzla (A11)","Stupine B2, Tuzla",75000.0,,TUZLA,,5.0,61.85,03 - Tuzlanski Kanton,,,,,,,,,,
13,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1822.0,"IBN-SINA PZU Ogranak 15, Slatina nova, Apoteka Tuzla (A16)","Albina Herljevića 8, Tuzla",75000.0,,TUZLA,,20.0,247.4,03 - Tuzlanski Kanton,,,,,,,,,,
14,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1848.0,"IBN-SINA PZU Ogranak 15, Slatina nova, Apoteka Tuzla (A16)","Albina Herljevića 8, Tuzla",75000.0,,TUZLA,,2.0,24.74,03 - Tuzlanski Kanton,,,,,,,,,,
15,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1879.0,"PZU APOTEKE ""PHARMACOM"" Tuzla ogr.FARMATEX Živinice",Prva ulica br.218,75270.0,,ŽIVINICE,,3.0,37.11,03 - Tuzlanski Kanton,,,,,,,,,,
16,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1858.0,"PZU Apoteka ""Alma"" Tuzla Ogranak Super apoteka 5","Ul. II Korpusa BIH bb, TC Merkator Tuzla",75000.0,,TUZLA,,1.0,12.37,03 - Tuzlanski Kanton,,,,,,,,,,
17,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,1. 2. 2022.,OTP,,1824.0,"IBN-SINA PZU Ogranak 13,Apoteka Gradačac (A14)","Josipa Šibera 3, Gradačac",76250.0,,GRADAČAC,,20.0,247.4,03 - Tuzlanski Kanton,,,,,,,,,,
20,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,31. 1. 2022.,OTP,,1772.0,PZU Apoteka Avicena Visoko,Ulica Branilaca 41,71300.0,,VISOKO,,3.0,37.11,04 - ZE-DO Kanton,,,,,,,,,,
21,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,3. 2. 2022.,OTP,,1977.0,"PZU Apoteka ""PHARMACIA"" ogranak",Fra Ivana Jukića bb,72000.0,,ZENICA,,10.0,115.2,04 - ZE-DO Kanton,,,,,,,,,,
22,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,3. 2. 2022.,OTP,,1955.0,PZU Apoteka ''NERA'' Visoko,Branilaca bb,71300.0,,VISOKO,,10.0,115.2,04 - ZE-DO Kanton,,,,,,,,,,
23,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,31. 1. 2022.,OTP,,1778.0,"PZU Apoteka ""PHARMACIA'' PJ Crkvice",Crkvice 46,72000.0,,ZENICA,,5.0,57.6,04 - ZE-DO Kanton,,,,,,,,,,
24,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,31. 1. 2022.,OTP,,1774.0,"PZU Apoteka ""PHARMACIA"" PLUS Zenica",Trg Alije Izetbegovića bb,72000.0,,ZENICA,,3.0,34.56,04 - ZE-DO Kanton,,,,,,,,,,
27,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,3. 2. 2022.,OTP,,1965.0,MIA privatna apoteka Kiseljak,Josipa bana Jelačića 93,71250.0,,KISELJAK,,5.0,61.85,06 - Srednjebosanski kanton,,,,,,,,,,
30,Dorzol 20mg/ml kapi za oči 5ml,2. 2. 2022.,OTP,,1904.0,Hercegovinalijek d.o.o.,Muje Pašića 4,88000.0,,MOSTAR,,150.0,1533.0,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
31,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,4. 2. 2022.,OTP,,2024.0,"Ljekarna ""Mr.ph.NINA KEŠELJ"" Mostar",Bleiburških žrtava bb,88000.0,,MOSTAR,,2.0,24.74,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
32,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,2. 2. 2022.,OTP,,1904.0,Hercegovinalijek d.o.o.,Muje Pašića 4,88000.0,,MOSTAR,,50.0,618.5,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
33,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,4. 2. 2022.,OTP,,1990.0,Hercegovinalijek d.o.o.,Muje Pašića 4,88000.0,,MOSTAR,,30.0,371.1,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
